ori_id,role_count,gender,event_start,decade,vicennium
254204,2,Male,1785,1780s,1780s
2389,1,Male,1789,1780s,1780s
248180,1,Male,1799,1790s,1780s
226615,4,Male,1800,1800s,1800s
254313,2,Male,1800,1800s,1800s
225496,2,Male,1800,1800s,1800s
54,4,Male,1800,1800s,1800s
257009,1,Male,1825,1820s,1820s
254607,2,Male,1825,1820s,1820s
407225,5,Male,1826,1820s,1820s
438996,3,Female,1826,1820s,1820s
478730,4,Male,1826,1820s,1820s
493584,2,Male,1826,1820s,1820s
467103,8,Male,1826,1820s,1820s
518161,1,Male,1826,1820s,1820s
510523,1,Male,1826,1820s,1820s
518163,1,Male,1826,1820s,1820s
462281,5,Male,1826,1820s,1820s
518162,1,Male,1826,1820s,1820s
257104,1,Male,1827,1820s,1820s
404960,1,Male,1829,1820s,1820s
248181,2,Male,1830,1830s,1820s
445704,1,Male,1830,1830s,1820s
444503,4,Female,1832,1830s,1820s
441430,1,Male,1832,1830s,1820s
478698,1,Male,1832,1830s,1820s
404819,6,Male,1832,1830s,1820s
478691,3,Male,1832,1830s,1820s
257354,3,Male,1832,1830s,1820s
478693,3,Male,1832,1830s,1820s
407289,3,Male,1832,1830s,1820s
408219,4,Male,1832,1830s,1820s
445531,1,Male,1832,1830s,1820s
478700,4,Female,1832,1830s,1820s
438524,5,Male,1832,1830s,1820s
478701,1,Female,1832,1830s,1820s
478690,2,Male,1832,1830s,1820s
260386,7,Male,1832,1830s,1820s
406612,5,Male,1833,1830s,1820s
519127,2,Unknown,1833,1830s,1820s
520094,3,Male,1833,1830s,1820s
478752,2,Female,1833,1830s,1820s
518380,1,Male,1833,1830s,1820s
521173,3,Male,1833,1830s,1820s
520092,2,Male,1833,1830s,1820s
521174,2,Male,1833,1830s,1820s
521388,2,Male,1833,1830s,1820s
520093,3,Male,1833,1830s,1820s
520338,2,Male,1833,1830s,1820s
520096,1,Male,1833,1830s,1820s
520097,2,Female,1833,1830s,1820s
520095,1,Male,1833,1830s,1820s
438849,3,Male,1833,1830s,1820s
459185,2,Male,1833,1830s,1820s
458959,1,Male,1833,1830s,1820s
519932,2,Female,1833,1830s,1820s
458960,2,Male,1833,1830s,1820s
495081,2,Male,1833,1830s,1820s
719,2,Male,1833,1830s,1820s
519933,3,Male,1833,1830s,1820s
227742,1,Male,1833,1830s,1820s
461075,3,Female,1833,1830s,1820s
438980,2,Male,1833,1830s,1820s
404817,3,Female,1833,1830s,1820s
441453,2,Male,1833,1830s,1820s
483144,2,Male,1833,1830s,1820s
441429,2,Male,1833,1830s,1820s
503582,1,Male,1833,1830s,1820s
503583,1,Female,1833,1830s,1820s
503589,3,Male,1833,1830s,1820s
447178,1,Male,1833,1830s,1820s
401730,2,Male,1833,1830s,1820s
503606,1,Female,1833,1830s,1820s
459158,2,Male,1833,1830s,1820s
481386,1,Male,1833,1830s,1820s
937,3,Male,1833,1830s,1820s
203511,3,Male,1833,1830s,1820s
442985,2,Male,1833,1830s,1820s
505688,1,Female,1833,1830s,1820s
445678,1,Male,1833,1830s,1820s
479325,1,Male,1833,1830s,1820s
518355,2,Male,1833,1830s,1820s
446490,2,Male,1833,1830s,1820s
6036,6,Male,1833,1830s,1820s
505687,2,Male,1833,1830s,1820s
407229,3,Male,1834,1830s,1820s
453938,1,Male,1834,1830s,1820s
407737,2,Male,1834,1830s,1820s
441849,2,Male,1834,1830s,1820s
447457,3,Male,1834,1830s,1820s
503986,2,Male,1834,1830s,1820s
503579,4,Female,1834,1830s,1820s
445464,1,Male,1834,1830s,1820s
438579,1,Male,1834,1830s,1820s
438208,1,Male,1834,1830s,1820s
441345,4,Male,1834,1830s,1820s
441444,2,Male,1834,1830s,1820s
501442,2,Male,1834,1830s,1820s
441744,5,Male,1834,1830s,1820s
464522,3,Male,1834,1830s,1820s
260388,6,Male,1835,1830s,1820s
247900,1,Male,1835,1830s,1820s
419474,2,Male,1835,1830s,1820s
518396,2,Male,1835,1830s,1820s
260389,1,Female,1835,1830s,1820s
438410,3,Female,1836,1830s,1820s
442663,2,Male,1836,1830s,1820s
483148,2,Male,1836,1830s,1820s
445468,1,Male,1837,1830s,1820s
458964,2,Male,1837,1830s,1820s
407224,3,Female,1837,1830s,1820s
447336,2,Male,1837,1830s,1820s
226425,3,Male,1837,1830s,1820s
445867,1,Male,1837,1830s,1820s
412799,1,Male,1837,1830s,1820s
5059,3,Male,1837,1830s,1820s
414774,1,Male,1838,1830s,1820s
407207,1,Female,1838,1830s,1820s
501178,3,Male,1838,1830s,1820s
439427,1,Male,1838,1830s,1820s
438217,1,Male,1838,1830s,1820s
407213,6,Male,1838,1830s,1820s
407206,3,Male,1838,1830s,1820s
414681,3,Male,1838,1830s,1820s
423949,4,Male,1838,1830s,1820s
400949,1,Male,1838,1830s,1820s
452375,2,Male,1838,1830s,1820s
251737,2,Female,1839,1830s,1820s
485812,1,Female,1839,1830s,1820s
438499,2,Male,1839,1830s,1820s
485811,1,Male,1839,1830s,1820s
485808,1,Male,1839,1830s,1820s
407208,2,Male,1841,1840s,1840s
441353,2,Male,1841,1840s,1840s
407210,1,Male,1841,1840s,1840s
407209,2,Male,1841,1840s,1840s
414592,1,Female,1841,1840s,1840s
458963,2,Male,1841,1840s,1840s
444035,3,Male,1842,1840s,1840s
446491,1,Male,1842,1840s,1840s
1666,2,Male,1842,1840s,1840s
438211,2,Male,1842,1840s,1840s
257384,2,Male,1842,1840s,1840s
406823,1,Male,1842,1840s,1840s
438515,4,Male,1842,1840s,1840s
242255,7,Male,1842,1840s,1840s
438209,6,Male,1842,1840s,1840s
408362,3,Male,1842,1840s,1840s
438341,1,Female,1843,1840s,1840s
1630,2,Male,1843,1840s,1840s
458962,1,Male,1843,1840s,1840s
408888,8,Male,1843,1840s,1840s
438432,2,Male,1843,1840s,1840s
251606,7,Male,1843,1840s,1840s
225212,2,Male,1843,1840s,1840s
515299,2,Male,1844,1840s,1840s
441855,1,Male,1844,1840s,1840s
440418,1,Male,1845,1840s,1840s
438374,1,Male,1845,1840s,1840s
441822,2,Male,1845,1840s,1840s
438204,1,Female,1845,1840s,1840s
439209,5,Male,1845,1840s,1840s
441825,2,Male,1845,1840s,1840s
444023,2,Female,1845,1840s,1840s
441732,3,Male,1845,1840s,1840s
438340,2,Female,1845,1840s,1840s
414568,2,Male,1845,1840s,1840s
438326,1,Male,1845,1840s,1840s
440405,1,Male,1845,1840s,1840s
438345,5,Male,1845,1840s,1840s
441829,2,Male,1846,1840s,1840s
441449,2,Male,1846,1840s,1840s
438200,1,Female,1846,1840s,1840s
441840,3,Male,1846,1840s,1840s
441448,1,Male,1846,1840s,1840s
457990,1,Male,1847,1840s,1840s
438214,1,Male,1848,1840s,1840s
438327,2,Male,1848,1840s,1840s
444022,2,Male,1849,1840s,1840s
413662,1,Male,1849,1840s,1840s
444025,1,Male,1849,1840s,1840s
464372,1,Male,1849,1840s,1840s
434190,5,Male,1849,1840s,1840s
442972,1,Male,1849,1840s,1840s
443697,1,Male,1849,1840s,1840s
444030,1,Female,1850,1850s,1840s
257437,2,Male,1850,1850s,1840s
438322,2,Female,1850,1850s,1840s
444031,1,Male,1850,1850s,1840s
444027,1,Male,1850,1850s,1840s
438386,1,Male,1850,1850s,1840s
257436,4,Male,1850,1850s,1840s
444026,1,Female,1850,1850s,1840s
444040,1,Male,1850,1850s,1840s
444039,1,Male,1850,1850s,1840s
442474,2,Male,1850,1850s,1840s
257438,2,Male,1850,1850s,1840s
438318,3,Female,1850,1850s,1840s
443754,2,Male,1850,1850s,1840s
257439,1,Male,1850,1850s,1840s
442471,4,Male,1850,1850s,1840s
444032,1,Male,1850,1850s,1840s
444036,1,Male,1850,1850s,1840s
438207,1,Male,1851,1850s,1840s
442472,1,Male,1851,1850s,1840s
442475,1,Male,1851,1850s,1840s
404953,3,Male,1851,1850s,1840s
452376,1,Male,1851,1850s,1840s
442470,2,Female,1851,1850s,1840s
438215,1,Male,1851,1850s,1840s
442477,1,Male,1851,1850s,1840s
442473,2,Male,1851,1850s,1840s
442478,1,Unknown,1851,1850s,1840s
442476,1,Male,1851,1850s,1840s
419931,1,Female,1851,1850s,1840s
2067,4,Male,1851,1850s,1840s
438797,3,Male,1851,1850s,1840s
442464,4,Male,1852,1850s,1840s
442016,1,Male,1852,1850s,1840s
438257,3,Male,1852,1850s,1840s
443072,1,Male,1853,1850s,1840s
443074,1,Male,1853,1850s,1840s
438321,1,Female,1853,1850s,1840s
438261,3,Male,1853,1850s,1840s
443073,2,Male,1853,1850s,1840s
443273,3,Male,1853,1850s,1840s
443271,1,Male,1853,1850s,1840s
443272,1,Male,1853,1850s,1840s
443075,2,Male,1853,1850s,1840s
442988,1,Female,1853,1850s,1840s
443275,6,Male,1853,1850s,1840s
438403,6,Male,1853,1850s,1840s
442984,1,Female,1853,1850s,1840s
443274,1,Male,1853,1850s,1840s
443270,1,Female,1853,1850s,1840s
443264,3,Male,1853,1850s,1840s
438324,2,Male,1853,1850s,1840s
438299,1,Male,1853,1850s,1840s
457541,2,Male,1853,1850s,1840s
421232,4,Male,1853,1850s,1840s
261355,2,Male,1853,1850s,1840s
438357,2,Female,1853,1850s,1840s
442987,1,Female,1853,1850s,1840s
438332,2,Male,1853,1850s,1840s
443263,2,Male,1853,1850s,1840s
438320,1,Female,1853,1850s,1840s
443695,1,Male,1854,1850s,1840s
442020,2,Male,1854,1850s,1840s
442022,1,Male,1854,1850s,1840s
438954,2,Male,1854,1850s,1840s
414027,2,Male,1854,1850s,1840s
439002,2,Male,1854,1850s,1840s
438363,2,Male,1854,1850s,1840s
438343,1,Male,1854,1850s,1840s
438338,1,Female,1854,1850s,1840s
443752,2,Male,1854,1850s,1840s
438370,9,Male,1854,1850s,1840s
443280,1,Female,1854,1850s,1840s
464349,2,Female,1854,1850s,1840s
438353,1,Female,1854,1850s,1840s
443279,1,Male,1854,1850s,1840s
438350,5,Male,1854,1850s,1840s
438346,2,Male,1854,1850s,1840s
443693,1,Male,1854,1850s,1840s
438378,1,Female,1854,1850s,1840s
441408,7,Male,1854,1850s,1840s
443705,1,Male,1854,1850s,1840s
438976,3,Female,1854,1850s,1840s
443765,2,Male,1854,1850s,1840s
443701,2,Female,1854,1850s,1840s
443696,1,Female,1854,1850s,1840s
438354,1,Female,1854,1850s,1840s
524640,1,Male,1854,1850s,1840s
438349,2,Male,1854,1850s,1840s
438210,3,Male,1854,1850s,1840s
438331,1,Male,1854,1850s,1840s
438351,1,Female,1854,1850s,1840s
438337,2,Male,1854,1850s,1840s
443278,1,Male,1854,1850s,1840s
438342,1,Male,1854,1850s,1840s
438377,1,Female,1854,1850s,1840s
442019,1,Female,1854,1850s,1840s
524565,2,Male,1854,1850s,1840s
442021,2,Male,1855,1850s,1840s
441860,2,Male,1855,1850s,1840s
439030,2,Male,1855,1850s,1840s
245809,5,Male,1855,1850s,1840s
442025,1,Male,1855,1850s,1840s
442027,1,Female,1855,1850s,1840s
438448,8,Male,1855,1850s,1840s
408358,2,Female,1855,1850s,1840s
438506,3,Male,1855,1850s,1840s
438427,2,Male,1855,1850s,1840s
438441,1,Female,1855,1850s,1840s
412795,2,Male,1855,1850s,1840s
400664,5,Male,1855,1850s,1840s
438379,2,Female,1855,1850s,1840s
442026,1,Male,1855,1850s,1840s
438380,2,Male,1855,1850s,1840s
261353,2,Female,1855,1850s,1840s
438415,2,Male,1855,1850s,1840s
438514,2,Male,1855,1850s,1840s
441337,3,Female,1855,1850s,1840s
438505,1,Female,1855,1850s,1840s
438444,1,Male,1855,1850s,1840s
414651,3,Male,1855,1850s,1840s
439071,2,Male,1855,1850s,1840s
438423,4,Male,1855,1850s,1840s
438421,1,Male,1855,1850s,1840s
438411,2,Female,1855,1850s,1840s
9661,2,Male,1855,1850s,1840s
442028,1,Male,1855,1850s,1840s
438420,2,Male,1855,1850s,1840s
438437,4,Female,1855,1850s,1840s
466089,7,Male,1855,1850s,1840s
501449,2,Female,1855,1850s,1840s
438445,4,Male,1855,1850s,1840s
438402,4,Male,1855,1850s,1840s
407182,2,Male,1855,1850s,1840s
464508,2,Male,1855,1850s,1840s
414245,1,Male,1855,1850s,1840s
445877,3,Male,1855,1850s,1840s
438571,1,Female,1855,1850s,1840s
438573,2,Female,1856,1850s,1840s
438597,1,Male,1856,1850s,1840s
438975,2,Female,1856,1850s,1840s
438575,3,Male,1856,1850s,1840s
438567,1,Male,1856,1850s,1840s
438527,2,Male,1856,1850s,1840s
438518,1,Male,1856,1850s,1840s
438587,2,Male,1856,1850s,1840s
444103,1,Male,1856,1850s,1840s
438576,3,Male,1856,1850s,1840s
439016,1,Male,1856,1850s,1840s
439798,3,Male,1856,1850s,1840s
438582,1,Male,1856,1850s,1840s
406900,1,Male,1856,1850s,1840s
438581,1,Male,1856,1850s,1840s
438519,1,Male,1856,1850s,1840s
438565,1,Male,1856,1850s,1840s
438594,3,Male,1856,1850s,1840s
237917,2,Male,1856,1850s,1840s
438566,3,Male,1856,1850s,1840s
414809,1,Male,1856,1850s,1840s
438879,2,Female,1856,1850s,1840s
444102,1,Female,1856,1850s,1840s
444074,2,Male,1856,1850s,1840s
449724,3,Male,1856,1850s,1840s
413345,2,Female,1856,1850s,1840s
248096,2,Male,1856,1850s,1840s
438778,1,Male,1856,1850s,1840s
245814,2,Male,1856,1850s,1840s
444092,2,Female,1856,1850s,1840s
438572,1,Female,1856,1850s,1840s
438595,2,Female,1856,1850s,1840s
438516,3,Female,1856,1850s,1840s
438508,1,Female,1856,1850s,1840s
408246,4,Male,1857,1850s,1840s
438765,1,Female,1857,1850s,1840s
406627,5,Male,1857,1850s,1840s
438689,4,Male,1857,1850s,1840s
466096,4,Male,1857,1850s,1840s
438687,3,Male,1857,1850s,1840s
445916,2,Male,1857,1850s,1840s
438690,3,Male,1857,1850s,1840s
438699,1,Female,1857,1850s,1840s
257583,1,Male,1857,1850s,1840s
438763,3,Female,1857,1850s,1840s
251596,2,Male,1857,1850s,1840s
438704,2,Male,1857,1850s,1840s
1218,2,Male,1857,1850s,1840s
438790,7,Male,1857,1850s,1840s
444109,1,Female,1857,1850s,1840s
438771,1,Female,1857,1850s,1840s
438789,9,Male,1857,1850s,1840s
438766,5,Male,1857,1850s,1840s
543814,1,Female,1857,1850s,1840s
447073,3,Male,1857,1850s,1840s
438767,6,Male,1857,1850s,1840s
404812,11,Male,1857,1850s,1840s
461196,4,Male,1857,1850s,1840s
438764,2,Female,1857,1850s,1840s
546842,1,Male,1858,1850s,1840s
259369,9,Male,1858,1850s,1840s
546841,1,Male,1858,1850s,1840s
438783,3,Male,1858,1850s,1840s
414506,6,Male,1858,1850s,1840s
245815,6,Male,1858,1850s,1840s
441401,1,Female,1858,1850s,1840s
438782,1,Female,1858,1850s,1840s
438781,2,Female,1858,1850s,1840s
546833,1,Male,1858,1850s,1840s
445466,4,Male,1858,1850s,1840s
546838,1,Male,1858,1850s,1840s
546837,2,Male,1858,1850s,1840s
546834,1,Male,1858,1850s,1840s
546840,1,Male,1858,1850s,1840s
438788,1,Unknown,1858,1850s,1840s
438775,2,Male,1858,1850s,1840s
546835,1,Male,1858,1850s,1840s
546836,1,Male,1858,1850s,1840s
438776,1,Female,1858,1850s,1840s
438773,1,Male,1858,1850s,1840s
546839,3,Male,1858,1850s,1840s
438784,2,Male,1858,1850s,1840s
546832,1,Female,1858,1850s,1840s
421236,2,Male,1858,1850s,1840s
438949,1,Male,1859,1850s,1840s
438948,3,Male,1859,1850s,1840s
438885,4,Male,1859,1850s,1840s
438984,3,Male,1859,1850s,1840s
438877,2,Male,1859,1850s,1840s
438791,7,Male,1859,1850s,1840s
438561,1,Female,1859,1850s,1840s
438792,2,Female,1859,1850s,1840s
438794,3,Male,1859,1850s,1840s
438796,2,Male,1859,1850s,1840s
404815,5,Male,1859,1850s,1840s
438983,3,Male,1859,1850s,1840s
438965,2,Male,1859,1850s,1840s
438955,3,Male,1859,1850s,1840s
245813,4,Male,1859,1850s,1840s
438968,2,Female,1859,1850s,1840s
438972,1,Male,1859,1850s,1840s
546901,1,Male,1859,1850s,1840s
412094,9,Male,1859,1850s,1840s
438985,3,Male,1859,1850s,1840s
462233,3,Male,1859,1850s,1840s
464510,2,Male,1859,1850s,1840s
438882,1,Male,1859,1850s,1840s
438884,1,Male,1859,1850s,1840s
438981,2,Male,1859,1850s,1840s
438998,2,Female,1860,1860s,1860s
462227,4,Male,1860,1860s,1860s
479379,1,Male,1860,1860s,1860s
439076,1,Female,1860,1860s,1860s
439012,1,Female,1860,1860s,1860s
439072,2,Male,1860,1860s,1860s
439074,1,Female,1860,1860s,1860s
418908,1,Female,1860,1860s,1860s
451817,2,Female,1860,1860s,1860s
414799,1,Male,1860,1860s,1860s
439463,6,Male,1860,1860s,1860s
439078,2,Male,1860,1860s,1860s
439004,3,Male,1860,1860s,1860s
461184,3,Female,1860,1860s,1860s
439079,3,Male,1860,1860s,1860s
228561,3,Male,1860,1860s,1860s
439005,2,Female,1860,1860s,1860s
439084,2,Male,1860,1860s,1860s
524563,1,Female,1861,1860s,1860s
451815,3,Male,1861,1860s,1860s
524562,1,Male,1861,1860s,1860s
439144,1,Male,1861,1860s,1860s
439127,2,Female,1861,1860s,1860s
439135,3,Female,1861,1860s,1860s
439202,1,Male,1861,1860s,1860s
439129,5,Male,1861,1860s,1860s
1966,1,Male,1861,1860s,1860s
524564,1,Male,1861,1860s,1860s
439131,2,Male,1861,1860s,1860s
439203,2,Male,1861,1860s,1860s
439098,5,Female,1861,1860s,1860s
412095,5,Male,1861,1860s,1860s
445530,3,Male,1861,1860s,1860s
439095,6,Male,1861,1860s,1860s
439197,5,Male,1861,1860s,1860s
439200,3,Female,1861,1860s,1860s
439126,2,Male,1861,1860s,1860s
439147,1,Male,1861,1860s,1860s
236013,2,Unknown,1861,1860s,1860s
439146,2,Male,1861,1860s,1860s
439240,5,Male,1862,1860s,1860s
245816,1,Male,1862,1860s,1860s
439243,1,Male,1862,1860s,1860s
439248,4,Male,1862,1860s,1860s
439500,3,Female,1862,1860s,1860s
439251,2,Female,1862,1860s,1860s
466206,4,Male,1862,1860s,1860s
439497,1,Male,1862,1860s,1860s
439498,1,Male,1862,1860s,1860s
439244,4,Male,1862,1860s,1860s
439819,2,Male,1862,1860s,1860s
439205,2,Female,1862,1860s,1860s
414520,2,Male,1862,1860s,1860s
414678,3,Male,1862,1860s,1860s
439206,1,Female,1862,1860s,1860s
439220,1,Male,1862,1860s,1860s
439246,3,Male,1862,1860s,1860s
439499,2,Male,1862,1860s,1860s
439569,1,Female,1862,1860s,1860s
439214,1,Male,1862,1860s,1860s
439245,1,Female,1862,1860s,1860s
261356,1,Male,1863,1860s,1860s
441433,1,Female,1863,1860s,1860s
442165,1,Female,1863,1860s,1860s
441333,2,Male,1863,1860s,1860s
524484,2,Female,1863,1860s,1860s
245808,2,Male,1863,1860s,1860s
438520,5,Male,1863,1860s,1860s
439541,5,Male,1863,1860s,1860s
439793,1,Female,1863,1860s,1860s
440408,1,Male,1863,1860s,1860s
441399,2,Female,1863,1860s,1860s
506994,1,Female,1863,1860s,1860s
439791,1,Female,1863,1860s,1860s
441507,1,Female,1863,1860s,1860s
441368,2,Male,1863,1860s,1860s
442166,1,Female,1863,1860s,1860s
440407,3,Male,1863,1860s,1860s
261354,1,Male,1863,1860s,1860s
440422,5,Male,1863,1860s,1860s
440413,1,Female,1863,1860s,1860s
506993,1,Male,1863,1860s,1860s
441359,5,Male,1863,1860s,1860s
459270,1,Male,1863,1860s,1860s
439543,1,Female,1863,1860s,1860s
439893,5,Male,1863,1860s,1860s
440443,1,Male,1863,1860s,1860s
441363,1,Male,1863,1860s,1860s
441438,1,Female,1863,1860s,1860s
261350,2,Male,1863,1860s,1860s
439568,3,Male,1863,1860s,1860s
439540,2,Male,1863,1860s,1860s
441365,1,Female,1863,1860s,1860s
441364,3,Male,1863,1860s,1860s
441355,1,Male,1863,1860s,1860s
441370,1,Male,1863,1860s,1860s
511306,3,Female,1863,1860s,1860s
440423,3,Male,1863,1860s,1860s
441356,2,Male,1863,1860s,1860s
439542,3,Female,1863,1860s,1860s
441367,1,Female,1863,1860s,1860s
441371,2,Male,1863,1860s,1860s
413059,2,Female,1864,1860s,1860s
457544,1,Male,1864,1860s,1860s
228647,2,Male,1864,1860s,1860s
414584,1,Male,1864,1860s,1860s
442283,2,Female,1864,1860s,1860s
230429,3,Male,1864,1860s,1860s
439809,1,Female,1864,1860s,1860s
440431,3,Male,1864,1860s,1860s
439790,2,Female,1864,1860s,1860s
440442,1,Male,1864,1860s,1860s
440417,1,Male,1864,1860s,1860s
442285,1,Female,1864,1860s,1860s
439794,3,Female,1864,1860s,1860s
440409,1,Female,1864,1860s,1860s
440434,1,Female,1864,1860s,1860s
439807,1,Female,1864,1860s,1860s
440433,1,Female,1864,1860s,1860s
439806,2,Female,1864,1860s,1860s
404810,2,Unknown,1865,1860s,1860s
524465,3,Male,1865,1860s,1860s
447611,2,Female,1865,1860s,1860s
448199,1,Male,1865,1860s,1860s
461180,2,Female,1865,1860s,1860s
525395,2,Male,1865,1860s,1860s
525282,1,Male,1865,1860s,1860s
525281,2,Female,1865,1860s,1860s
442314,1,Male,1865,1860s,1860s
496448,2,Female,1865,1860s,1860s
448204,1,Male,1865,1860s,1860s
524482,1,Female,1865,1860s,1860s
524483,1,Unknown,1865,1860s,1860s
508442,2,Male,1865,1860s,1860s
448734,1,Female,1865,1860s,1860s
448726,1,Female,1865,1860s,1860s
506835,4,Male,1865,1860s,1860s
448200,2,Male,1865,1860s,1860s
524481,3,Male,1865,1860s,1860s
509725,2,Male,1865,1860s,1860s
448735,1,Female,1865,1860s,1860s
439445,3,Male,1865,1860s,1860s
524621,2,Male,1865,1860s,1860s
524795,1,Male,1865,1860s,1860s
448205,3,Male,1865,1860s,1860s
445795,1,Male,1865,1860s,1860s
419972,2,Male,1865,1860s,1860s
524488,1,Unknown,1865,1860s,1860s
526489,1,Male,1865,1860s,1860s
526488,2,Male,1865,1860s,1860s
447158,1,Male,1865,1860s,1860s
465860,3,Male,1865,1860s,1860s
447617,2,Male,1865,1860s,1860s
412160,2,Female,1865,1860s,1860s
439431,4,Male,1865,1860s,1860s
526881,1,Male,1865,1860s,1860s
439456,1,Male,1865,1860s,1860s
448502,1,Male,1865,1860s,1860s
442366,1,Female,1865,1860s,1860s
526376,1,Unknown,1865,1860s,1860s
462229,3,Male,1865,1860s,1860s
511081,1,Male,1865,1860s,1860s
451827,1,Female,1865,1860s,1860s
448730,1,Female,1865,1860s,1860s
407430,2,Female,1865,1860s,1860s
444019,2,Male,1865,1860s,1860s
442313,1,Female,1865,1860s,1860s
525925,5,Male,1865,1860s,1860s
447614,2,Male,1865,1860s,1860s
446958,3,Female,1865,1860s,1860s
525926,1,Male,1865,1860s,1860s
412956,2,Male,1865,1860s,1860s
464327,3,Female,1865,1860s,1860s
525929,1,Male,1865,1860s,1860s
523174,1,Female,1865,1860s,1860s
451866,2,Male,1865,1860s,1860s
408361,2,Female,1865,1860s,1860s
448724,1,Female,1865,1860s,1860s
476895,2,Female,1865,1860s,1860s
464307,2,Female,1865,1860s,1860s
451810,1,Female,1866,1860s,1860s
508043,2,Female,1866,1860s,1860s
439867,2,Male,1866,1860s,1860s
439865,1,Male,1866,1860s,1860s
462230,2,Male,1866,1860s,1860s
440214,3,Male,1866,1860s,1860s
442367,1,Male,1866,1860s,1860s
439461,3,Male,1866,1860s,1860s
439289,1,Female,1866,1860s,1860s
440810,2,Female,1866,1860s,1860s
523114,2,Male,1866,1860s,1860s
439864,1,Female,1866,1860s,1860s
495706,1,Male,1866,1860s,1860s
459132,4,Male,1866,1860s,1860s
459129,1,Female,1866,1860s,1860s
461187,2,Female,1866,1860s,1860s
451811,5,Male,1866,1860s,1860s
495705,1,Male,1866,1860s,1860s
524463,1,Female,1866,1860s,1860s
524485,1,Male,1866,1860s,1860s
451875,1,Male,1866,1860s,1860s
461194,1,Male,1866,1860s,1860s
440814,3,Male,1866,1860s,1860s
461190,2,Male,1866,1860s,1860s
439452,3,Male,1866,1860s,1860s
465974,3,Female,1866,1860s,1860s
411856,1,Female,1866,1860s,1860s
479380,2,Male,1866,1860s,1860s
471149,2,Male,1866,1860s,1860s
463935,3,Male,1867,1860s,1860s
228403,2,Male,1867,1860s,1860s
464369,1,Female,1867,1860s,1860s
464350,1,Female,1867,1860s,1860s
439430,1,Male,1867,1860s,1860s
464343,1,Male,1867,1860s,1860s
407996,2,Female,1867,1860s,1860s
464410,1,Female,1867,1860s,1860s
464400,1,Female,1867,1860s,1860s
462286,3,Female,1867,1860s,1860s
464406,1,Female,1867,1860s,1860s
245817,2,Male,1867,1860s,1860s
454569,4,Female,1867,1860s,1860s
448004,3,Female,1867,1860s,1860s
447928,3,Male,1867,1860s,1860s
447929,1,Female,1867,1860s,1860s
407177,1,Male,1867,1860s,1860s
238608,4,Male,1867,1860s,1860s
442088,7,Male,1867,1860s,1860s
464542,4,Female,1868,1860s,1860s
245818,1,Female,1868,1860s,1860s
464551,1,Male,1868,1860s,1860s
440740,1,Female,1868,1860s,1860s
464607,5,Male,1868,1860s,1860s
439407,3,Female,1868,1860s,1860s
448480,1,Male,1868,1860s,1860s
408356,5,Male,1868,1860s,1860s
439894,4,Male,1868,1860s,1860s
464606,1,Male,1868,1860s,1860s
441575,1,Male,1868,1860s,1860s
463917,6,Male,1868,1860s,1860s
464553,3,Female,1868,1860s,1860s
464496,1,Female,1868,1860s,1860s
258475,7,Male,1868,1860s,1860s
464497,1,Female,1868,1860s,1860s
464488,2,Male,1868,1860s,1860s
245810,3,Female,1868,1860s,1860s
245807,3,Male,1868,1860s,1860s
241770,4,Male,1868,1860s,1860s
414241,1,Male,1868,1860s,1860s
470017,1,Male,1868,1860s,1860s
464541,1,Female,1868,1860s,1860s
404811,2,Male,1868,1860s,1860s
470033,4,Male,1868,1860s,1860s
439843,1,Male,1868,1860s,1860s
441943,2,Male,1868,1860s,1860s
235026,15,Male,1869,1860s,1860s
470965,5,Male,1869,1860s,1860s
470966,4,Male,1869,1860s,1860s
407570,11,Male,1869,1860s,1860s
413627,2,Male,1869,1860s,1860s
466310,1,Male,1869,1860s,1860s
439457,2,Male,1869,1860s,1860s
445777,3,Male,1869,1860s,1860s
466308,3,Male,1869,1860s,1860s
476462,1,Female,1869,1860s,1860s
476915,1,Male,1869,1860s,1860s
467347,2,Male,1869,1860s,1860s
471125,1,Male,1869,1860s,1860s
414221,4,Female,1869,1860s,1860s
441428,1,Male,1869,1860s,1860s
463923,2,Male,1869,1860s,1860s
476465,2,Male,1869,1860s,1860s
406615,1,Male,1869,1860s,1860s
470034,1,Male,1869,1860s,1860s
470035,2,Female,1869,1860s,1860s
448478,1,Male,1869,1860s,1860s
448477,4,Female,1869,1860s,1860s
471128,2,Female,1870,1870s,1860s
476908,2,Male,1870,1870s,1860s
466182,2,Female,1870,1870s,1860s
471222,1,Male,1870,1870s,1860s
476912,1,Female,1870,1870s,1860s
443570,3,Female,1870,1870s,1860s
471127,1,Male,1870,1870s,1860s
233061,3,Male,1870,1870s,1860s
471137,1,Male,1870,1870s,1860s
476914,1,Male,1870,1870s,1860s
476864,1,Male,1870,1870s,1860s
471219,2,Male,1870,1870s,1860s
471141,1,Male,1870,1870s,1860s
406263,1,Male,1870,1870s,1860s
476903,2,Male,1870,1870s,1860s
476904,1,Female,1870,1870s,1860s
476907,1,Male,1870,1870s,1860s
414988,3,Male,1870,1870s,1860s
407834,12,Male,1870,1870s,1860s
439458,1,Male,1870,1870s,1860s
436392,2,Male,1870,1870s,1860s
478344,3,Male,1870,1870s,1860s
465961,2,Female,1870,1870s,1860s
439462,1,Male,1870,1870s,1860s
465963,2,Female,1870,1870s,1860s
